id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
7719003,Double for Rugby World Cup 2015,Hounslow,51.46769486,-0.327124624,Private room,80,1,0,1,365
3917692,Double room,Hounslow,51.49330642,-0.267927083,Private room,117,1,1,1,353
1330527,The Muse Haus 1 (Cute Bedroom),Hounslow,51.49162509,-0.262647373,Private room,34,1,110,2,322
6462524,Lovely single room for rent LONDON,Hounslow,51.4998667,-0.282539086,Private room,18,1,0,1,84
7573668,Double Bedroom - Kingsize bed,Hounslow,51.49676515,-0.28053201,Private room,42,1,3,2,49
5268360,Stunning Studio ,Hounslow,51.47351866,-0.352824646,Entire home/apt,60,1,5,1,240
8048585,Large light room with en suite -RWC,Hounslow,51.46412296,-0.328948559,Private room,45,1,0,1,365
5502996,Double Ensuite Private Room,Hounslow,51.49451648,-0.3003017,Private room,55,1,3,1,348
391035,Sunny single free WiFi  Nr Richmond,Hounslow,51.46503966,-0.326277841,Private room,30,2,68,2,335
4181590,SINGLE ROOM / LHR ,Hounslow,51.47800792,-0.362627174,Private room,25,1,36,2,352
7599632,Light and Spacious Double Room,Hounslow,51.49544887,-0.282149906,Private room,39,1,4,2,63
41509,Room in maisonette in chiswick,Hounslow,51.49156665,-0.256000208,Private room,49,1,30,1,365
500197,Bright Bedroom in Attractive Flat ,Hounslow,51.49653553,-0.253415007,Private room,31,2,82,1,321
7578095,Double bedroom in Heston/LHR 10mins,Hounslow,51.46197268,-0.374314885,Private room,39,1,3,5,361
455758,Entire Contemporary Flat Only For U,Hounslow,51.46996247,-0.357680386,Entire home/apt,75,1,1,1,365
8123345,Bright double bed in cosy house,Hounslow,51.49256228,-0.256559856,Shared room,35,2,0,1,359
6267169,Twickenham stadium,Hounslow,51.4581247,-0.328750389,Entire home/apt,125,2,0,1,49
2850029,Charming and cosy casa in Isleworth,Hounslow,51.4718162,-0.34005478,Private room,42,1,36,1,131
7353932,Two bedroom apartment in Brentford,Hounslow,51.49126102,-0.314495634,Entire home/apt,50,20,1,1,35
6650594,Smart single room,Hounslow,51.47489477,-0.337376107,Private room,25,1,3,1,303
1669615,Double rm 10 min walk 2Twick Rugby!,Hounslow,51.46220304,-0.331098099,Private room,38,2,16,1,325
6310277,Dble Bedroom Near Heathrow Airport,Hounslow,51.47835066,-0.404564531,Private room,65,1,3,1,357
7174027,Chambre dans maison victorienne,Hounslow,51.44568789,-0.405160628,Private room,31,1,0,1,365
8004314,Rugby World Cup double room,Hounslow,51.4569271,-0.352266829,Private room,55,1,0,1,57
2587763,chiswick large double private room ,Hounslow,51.49362363,-0.278472504,Private room,65,1,34,1,337
7276298,One Bedroom Marina flat in London,Hounslow,51.4808738,-0.303241204,Entire home/apt,75,1,0,1,32
4367805,Bright cosy flat in lovely Chiswick,Hounslow,51.48888723,-0.270723502,Entire home/apt,79,1,17,1,267
4126176,"Funky twin bed, 4min from tube",Hounslow,51.50002187,-0.28082847,Private room,35,1,29,2,80
